Frozen,USCS_Code,GMC,PSI
1,GW,10,5
1,GW,20,4
1,GW,30,3
1,GW,40,2
1,GW,50,1
1,GW,60,1
1,GW,70,1
1,GW,80,1
1,GW,90,1
1,GW,100,1
1,GW,110,1
1,GW,120,1
1,GW,130,1
1,GW,140,1
1,GW,150,1
1,GW,160,1
1,GW,170,1
1,GW,180,1
1,GW,190,1
1,GW,200,1
1,GP,10,5
1,GP,20,4
1,GP,30,3
1,GP,40,2
1,GP,50,1
1,GP,60,1
1,GP,70,1
1,GP,80,1
1,GP,90,1
1,GP,100,1
1,GP,110,1
1,GP,120,1
1,GP,130,1
1,GP,140,1
1,GP,150,1
1,GP,160,1
1,GP,170,1
1,GP,180,1
1,GP,190,1
1,GP,200,1
1,GM,10,5
1,GM,20,5
1,GM,30,4
1,GM,40,3
1,GM,50,2
1,GM,60,1
1,GM,70,1
1,GM,80,1
1,GM,90,1
1,GM,100,1
1,GM,110,1
1,GM,120,1
1,GM,130,1
1,GM,140,1
1,GM,150,1
1,GM,160,1
1,GM,170,1
1,GM,180,1
1,GM,190,1
1,GM,200,1
1,SW,10,5
1,SW,20,5
1,SW,30,4
1,SW,40,3
1,SW,50,2
1,SW,60,1
1,SW,70,1
1,SW,80,1
1,SW,90,1
1,SW,100,1
1,SW,110,1
1,SW,120,1
1,SW,130,1
1,SW,140,1
1,SW,150,1
1,SW,160,1
1,SW,170,1
1,SW,180,1
1,SW,190,1
1,SW,200,1
1,SP,10,5
1,SP,20,5
1,SP,30,4
1,SP,40,3
1,SP,50,2
1,SP,60,1
1,SP,70,1
1,SP,80,1
1,SP,90,1
1,SP,100,1
1,SP,110,1
1,SP,120,1
1,SP,130,1
1,SP,140,1
1,SP,150,1
1,SP,160,1
1,SP,170,1
1,SP,180,1
1,SP,190,1
1,SP,200,1
1,SM,10,5
1,SM,20,5
1,SM,30,4
1,SM,40,4
1,SM,50,3
1,SM,60,2
1,SM,70,1
1,SM,80,1
1,SM,90,1
1,SM,100,1
1,SM,110,1
1,SM,120,1
1,SM,130,1
1,SM,140,1
1,SM,150,1
1,SM,160,1
1,SM,170,1
1,SM,180,1
1,SM,190,1
1,SM,200,1
1,ML,10,5
1,ML,20,5
1,ML,30,5
1,ML,40,4
1,ML,50,3
1,ML,60,2
1,ML,70,1
1,ML,80,1
1,ML,90,1
1,ML,100,1
1,ML,110,1
1,ML,120,1
1,ML,130,1
1,ML,140,1
1,ML,150,1
1,ML,160,1
1,ML,170,1
1,ML,180,1
1,ML,190,1
1,ML,200,1
1,Pt,10,1
1,Pt,20,1
1,Pt,30,1
1,Pt,40,1
1,Pt,50,1
1,Pt,60,1
1,Pt,70,1
1,Pt,80,1
1,Pt,90,1
1,Pt,100,1
1,Pt,110,1
1,Pt,120,1
1,Pt,130,1
1,Pt,140,1
1,Pt,150,1
1,Pt,160,1
1,Pt,170,1
1,Pt,180,1
1,Pt,190,1
1,Pt,200,1
0,GW,10,5
0,GW,20,5
0,GW,30,4
0,GW,40,3
0,GW,50,2
0,GW,60,1
0,GW,70,1
0,GW,80,1
0,GW,90,1
0,GW,100,1
0,GW,110,1
0,GW,120,1
0,GW,130,1
0,GW,140,1
0,GW,150,1
0,GW,160,1
0,GW,170,1
0,GW,180,1
0,GW,190,1
0,GW,200,1
0,GP,10,5
0,GP,20,5
0,GP,30,4
0,GP,40,3
0,GP,50,2
0,GP,60,1
0,GP,70,1
0,GP,80,1
0,GP,90,1
0,GP,100,1
0,GP,110,1
0,GP,120,1
0,GP,130,1
0,GP,140,1
0,GP,150,1
0,GP,160,1
0,GP,170,1
0,GP,180,1
0,GP,190,1
0,GP,200,1
0,GM,10,5
0,GM,20,5
0,GM,30,5
0,GM,40,4
0,GM,50,3
0,GM,60,2
0,GM,70,1
0,GM,80,1
0,GM,90,1
0,GM,100,1
0,GM,110,1
0,GM,120,1
0,GM,130,1
0,GM,140,1
0,GM,150,1
0,GM,160,1
0,GM,170,1
0,GM,180,1
0,GM,190,1
0,GM,200,1
0,SW,10,5
0,SW,20,5
0,SW,30,5
0,SW,40,4
0,SW,50,3
0,SW,60,2
0,SW,70,1
0,SW,80,1
0,SW,90,1
0,SW,100,1
0,SW,110,1
0,SW,120,1
0,SW,130,1
0,SW,140,1
0,SW,150,1
0,SW,160,1
0,SW,170,1
0,SW,180,1
0,SW,190,1
0,SW,200,1
0,SP,10,5
0,SP,20,5
0,SP,30,5
0,SP,40,4
0,SP,50,3
0,SP,60,2
0,SP,70,1
0,SP,80,1
0,SP,90,1
0,SP,100,1
0,SP,110,1
0,SP,120,1
0,SP,130,1
0,SP,140,1
0,SP,150,1
0,SP,160,1
0,SP,170,1
0,SP,180,1
0,SP,190,1
0,SP,200,1
0,SM,10,5
0,SM,20,5
0,SM,30,5
0,SM,40,4
0,SM,50,4
0,SM,60,3
0,SM,70,2
0,SM,80,1
0,SM,90,1
0,SM,100,1
0,SM,110,1
0,SM,120,1
0,SM,130,1
0,SM,140,1
0,SM,150,1
0,SM,160,1
0,SM,170,1
0,SM,180,1
0,SM,190,1
0,SM,200,1
0,ML,10,5
0,ML,20,5
0,ML,30,5
0,ML,40,5
0,ML,50,4
0,ML,60,3
0,ML,70,2
0,ML,80,1
0,ML,90,1
0,ML,100,1
0,ML,110,1
0,ML,120,1
0,ML,130,1
0,ML,140,1
0,ML,150,1
0,ML,160,1
0,ML,170,1
0,ML,180,1
0,ML,190,1
0,ML,200,1
0,Pt,10,1
0,Pt,20,1
0,Pt,30,1
0,Pt,40,1
0,Pt,50,1
0,Pt,60,1
0,Pt,70,1
0,Pt,80,1
0,Pt,90,1
0,Pt,100,1
0,Pt,110,1
0,Pt,120,1
0,Pt,130,1
0,Pt,140,1
0,Pt,150,1
0,Pt,160,1
0,Pt,170,1
0,Pt,180,1
0,Pt,190,1
0,Pt,200,1
